Site,Trans,Meter,Canopy %
T-1Y4,1,10,27
T-1Y4,2,10,16
T-1Y4,3,10,23
T-2Y4,1,10,8
T-2Y4,2,10,22
T-2Y4,3,10,18
T-3Y4,1,10,53
T-3Y4,2,10,29
T-3Y4,3,10,48
T-4Y4,1,10,0
T-4Y4,2,10,0
T-4Y4,3,10,8
T-5Y4,1,10,47
T-5Y4,2,10,29
T-5Y4,3,10,21
T-6Y4,1,10,35
T-6Y4,2,10,21
T-6Y4,3,10,22
T-7Y4,1,10,31
T-7Y4,2,10,19
T-7Y4,3,10,2
T-8Y4,1,10,3
T-8Y4,2,10,10
T-8Y4,3,10,8
T-9Y4,1,10,7
T-9Y4,2,10,10
T-9Y4,3,10,12
T-10Y4,1,10,12
T-10Y4,2,10,27
T-10Y4,3,10,34
T-11Y4,1,10,2
T-11Y4,2,10,7
T-11Y4,3,10,5
T-12Y4,1,10,0
T-12Y4,2,10,0
T-12Y4,3,10,0
T-13Y4,1,10,21
T-13Y4,2,10,23
T-13Y4,3,10,13
T-14Y4,1,10,2
T-14Y4,2,10,0
T-14Y4,3,10,0
T-15Y4,1,10,5
T-15Y4,2,10,2
T-15Y4,3,10,5
T-16Y4,1,10,25
T-16Y4,2,10,28
T-16Y4,3,10,3
