stand,lichen,lichen.se,cvr,cvr.se
Davy,1.4,0.08,71.24,1.67
HDF1,1.67,0.83,54.31,6.43
HDF2,41.33,20.51,70.52,8.02
HDR,5.03,2.56,57.03,2.59
HDS1,7.50,0.00,59.45,3.99
HDS2,1.67,1.67,75.43,3.63
LDF1,0.83,0.83,6.50,1.80
LDF2,18.33,6.01,13.66,2.17
LDF3,12.50,2.50,10.92,6.87
LDR,24.52,6.43,10.92,6.868754807
LDS1,5.00,1.44,43.36,5.61
LDS2,10.83,1.67,40.76,4.68
LDS3,38.67,12.57,8.03,3.65
MDF1,12.50,5.20,28.14,5.45
MDF2,11.00,8.35,33.19,3.60
MDF3,1.67,0.93,43.59,5.22
MDF4,14.17,7.70,33.74,1.90
MDS1,6.67,0.83,66.76,3.12
MDS2,0.83,0.83,37.82,10.09
