"plot","ndvi","ndvi.se","shrub.agb","Ks","Ks.se","moss","lichen","herb","shrub","other","total","moss.und","lichen.und","litter.und","eg.shrub.und","total.und","veg.type"
1.1,0.323333333333333,0.0120185042515466,0,0.469333333333333,0.0473333333333333,0,95,0,5,0,100,0,0,0,0,0,"1"
1.2,0.613333333333333,0.00333333333333334,67.0514753550978,0.134666666666667,0.0606694138572129,50,0,0,50,0,100,75,0,0,25,100,"2"
1.3,0.586666666666667,0.00666666666666667,288.847127274363,0.0733333333333333,0.015300689890038,10,0,0,90,0,100,30,0,40,30,100,"3"
2.1,0.41,0.00577350269189625,0,0.381,0.116,0,95,0,5,0,100,0,0,0,0,0,"1"
2.2,0.62,0.0152752523165195,114.147121286551,0.076,0.023,25,0,0,75,0,100,50,0,0,50,100,"2"
2.3,0.645,0.005,114.603882973404,0.0645,0.0105,0,0,0,100,0,100,5,5,0,90,100,"3"
3.1,0.4,0.00577350269189625,0,0.417,0.292,10,90,0,0,0,100,0,0,0,0,0,"1"
3.2,0.613333333333333,0.00881917103688198,81.7513939914046,0.116,0.062,15,0,0,85,0,100,40,0,0,60,100,"2"
3.3,0.66,0.01,253.83268907524,0.07,0.01,5,0,0,95,0,100,55,10,0,35,100,"3"
4.1,0.456666666666667,0.00881917103688196,4.49861659792554,0.264,NA,10,85,0,5,0,100,0,0,0,0,0,"1"
4.2,0.593333333333333,0.0240370085030933,58.652158828416,0.196,NA,5,5,0,90,0,100,20,0,0,80,100,"2"
4.3,0.63,0.01,309.038375158533,0.063,NA,10,0,0,90,0,100,50,0,0,50,100,"3"
5.1,0.403333333333333,0.00333333333333332,0,0.342,NA,5,95,0,0,0,100,0,0,0,0,0,"1"
5.2,0.62,0.01,24.0813531859859,0.097,NA,35,0,0,65,0,100,75,0,0,25,100,"2"
5.3,0.64,0.0115470053837925,86.5565486053515,0.044,NA,15,15,0,70,0,100,30,40,0,30,100,"3"
