Sensor,Serial No.,Veg,Yr
1,2037432,SM,14
2,2028550,SM,1314
3,2028537,SM,1314
4,2028546,L,13
5,2028534,L,1314
6,2028549,,
7,2028543,SM,1314
8,2028559,,
9,2028561,SM,1314
10,2037433,SM,13
11,2037424,L,1314
12,2028553,L,1314
13,2028541,L,1314
14,2028562,L,1314
15,2037422,SM,13
16,2028558,L,1314
17,2037431,,
18,2037421,,
19,2037435,SM,1314
20,2028539,,
21,2037434,,
22,2037420,L,1314
23,2028538,SM,1314
24,2028548,SM,1314
25,2028560,L,1314
26,2037427,L,1314
27,2037423,,
28,2028563,,
29,2028542,SM,1314
30,2028552,,
