Plot,PFT,OM_Depth,O.moist,O.som,O.carbon,M.moist,M.som,M.carbon
L1,L,8,54.8,32.9,16.2,39.6,14.2,6.6
L2,L,7,59.5,47.6,23.7,43.4,19.4,9.3
L3,L,5,53.5,44.2,22,40.1,16.2,7.6
M1,SM,13,73.2,68.8,34.5,41.4,12.2,5.6
M2,SM,12,74.1,88.6,44.6,33.5,10.3,4.6
M3,SM,15,72.1,77.9,39.1,49.7,22.7,11
L1-C,L,6,58.8,45.1,22.4,40.3,12.7,5.9
L2-C,L,5,46.8,31.8,15.6,26.6,7.3,3.1
L3-C,L,5,49.1,38.5,19,33.7,11.9,5.4
M1-C,SM,12,71,67.9,34,50.2,25.9,12.6
M2-C,SM,11,70.7,74.6,37.5,23.3,14.2,6.6
M3-C,SM,11,64.1,57,28.5,41.1,16.6,7.9
