"","date","time","plot","td1","td2","td","Ks","sm","Tsoil","Tsurf","Tair","par","sw","par.met","Tair.met","p.Kpa","rh.met","t.diff","veg.type","nee","nee.r2","nee.p","et","et.r2","et.p","nee.et.rank","reco","reco.r2","reco.p","reco.rank","gpp","d","d.met"
"1","7/17/13","18:48",1.1,58,81,69.5,0.564,0.37,4.9,10,11.1,179,92,253.7,7.745,101.3,84.1,2.255,"1",NA,-0.001769581,0.338530189,NA,-0.034469192,0.984574138,1,NA,0.097794203,0.048269356,1,NA,1.11058333507584,0.886203553585424
"2","7/17/13","18:59",1.2,18,15,16.5,0.073,0.1,3,9.1,11.1,148,77,253.7,7.745,101.3,84.1,1.355,"2",2.31665972414426,0.369058506,1.52e-05,0.105542848729187,0.749230129,1.71e-13,3,3.22887609246839,0.518902333,6.63e-08,3,0.912216368324124,1.11058333507584,0.886203553585424
"3","7/17/13","",1.3,86,36,61,0.085,0.29,2.6,7.9,11.2,156,81,253.7,7.745,101.3,84.1,0.155,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11797647255418,0.886203553585424
"4","7/18/13","17:59",1.1,69,78,73.5,0.422,0.31,5.7,19.3,20.2,598,322,943.7,14.194,101.7,71.4,5.106,"1",1.61229465715785,0.41242982,3.61e-06,0.444645276892276,0.983792424,9.59e-37,5,0.940874664149908,0.077977786,0.042852454,3,NA,1.68902016423763,1.15494483463825
"5","7/18/13","18:06",1.2,23,22,22.5,0.256,0.18,3.6,15.4,19.1,598,322,848.7,14.05,101.7,71.6,1.35,"2",-3.10497213691219,0.421025075,4.72e-05,1.03322170103895,0.980840766,1.13e-26,5,3.16152267317311,0.544123938,1.33e-06,5,6.26649481008529,1.58192799173114,1.14742100893064
"6","7/18/13","18:14",1.3,18,32,25,0.092,0.22,1.4,14.7,19,598,322,848.7,14.05,101.7,71.6,0.649999999999999,"3",3.87814838366027,0.515505915,3.28e-06,0.887843341622103,0.979307411,3.44e-26,5,3.56163943150928,0.645802432,3.17e-08,5,NA,1.57209082479592,1.14742100893064
"7","7/18/13","18:24",2.1,74,65,69.5,0.265,0.371,4.8,17.1,19.8,540,306,848.7,14.05,101.7,71.6,3.05,"1",1.40538512976187,0.224402185,0.001035742,0.300563275470357,0.965668475,2.2e-30,5,1.80266539421525,0.376614731,1.19e-05,5,0.397280264453383,1.65231208126785,1.14742100893064
"8","7/18/13","18:30",2.2,43,28,35.5,0.099,0.298,2.2,14.9,20,540,306,848.7,14.05,101.7,71.6,0.85,"2",4.15059978758155,0.812124502,5.91e-16,1.08129102047673,0.994113124,2.53e-45,5,2.99048421082356,0.744155584,2.53e-13,5,NA,1.67291927012496,1.14742100893064
"9","7/18/13","18:37",2.3,13,20,16.5,0.075,0.149,3.4,13,20.1,540,306,746.2,13.546,101.7,73.2,-0.545999999999999,"3",0.0168319192847818,-0.025610484,0.972987997,0.730738418347811,0.983239818,1.85e-36,5,NA,0.826067306,2.31e-12,1,NA,1.72092285541717,1.13526787474975
"10","7/18/13","18:55",3.1,77,83,80,0.709,0.344,5.6,12.1,16.4,99,270,746.2,13.546,101.7,73.2,-1.446,"1",0.865280752326841,0.140718994,0.009037019,0.398505857435878,0.935463235,4.94e-25,5,2.88147762274445,0.388496568,0.000107667,5,2.01619687041761,1.36427130175191,1.13526787474975
"11","7/18/13","",3.2,25,14,19.5,0.178,0.489,1.4,13,16.4,109,220,746.2,13.546,101.7,73.2,-0.545999999999999,"2",2.72488690665478,0.393950303,6.73e-06,0.144972838847898,0.871587249,3.42e-19,5,3.12670644836958,0.514963218,7.8e-08,5,0.401819541714795,1.36427130175191,1.13526787474975
"12","7/18/13","19:01",3.3,21,28,24.5,0.08,0.27,3.4,11.9,16.4,109,220,641.2,12.751,101.7,75.3,-0.850999999999999,"3",0.519917313596252,0.075513538,0.045542907,0.424913182840912,0.983683497,1.09e-36,5,2.05712755187249,0.134752701,0.015828972,5,1.53721023827624,1.40341023253987,1.10874856823854
"13","7/19/13","19:05",1.1,81,70,75.5,0.422,0.412,9.9,16.3,21.7,210,97,433.7,19.984,100.8,56.6,-3.684,"1",2.21416011421002,0.309037172,9.6e-05,0.137540891782851,0.531420225,3.92e-08,5,2.31883508016299,0.112543146,0.025756412,3,0.104674965952965,1.46825715693131,1.32113763333103
"14","7/19/13","19:12",1.2,17,23,20,0.075,0.401,3.2,15.3,20.6,152,66,433.7,19.984,100.8,56.6,-4.684,"2",-1.48947583945861,-0.013837827,0.448426819,0.298571048937099,0.401039382,7.87e-05,3,4.44642540920875,0.784391038,8.79e-15,3,5.93590124866736,1.37239054984155,1.32113763333103
"15","7/19/13","19:15",1.3,18,32,25,0.043,0.214,2.7,16.5,21.3,190,88,433.7,19.984,100.8,56.6,-3.484,"3",1.3607853059463,0.293368481,6.04e-05,0.660086385459322,0.977622186,3.66e-38,5,1.26159455587728,0.15139332,0.006907042,3,NA,1.43273927529464,1.32113763333103
"16","7/19/13","17:09",2.1,76,69,72.5,0.497,0.376,5.8,25.5,24.2,346,173,808.7,20.055,100.8,58.3,5.445,"1",4.35969841252405,0.10719679,0.020823942,0.225712416454483,0.077743001,0.043101731,3,2.41276910020744,-0.006196602,0.390630036,3,NA,1.75952655862384,1.36681384436335
"17","7/19/13","17:15",2.2,44,21,32.5,0.053,0.216,3,20.3,24.2,772,415,808.7,20.055,100.8,58.3,0.245000000000001,"2",1.95561476708974,0.031807651,0.136272379,0.645095953694839,0.501717889,1.33e-07,3,2.29131865214074,0.401034215,5.31e-06,5,0.335703885050999,1.75952655862384,1.36681384436335
