"Group.1","td","Ks","sm","Tsoil","Tsurf","Tair","par","sw","par.met","Tair.met","p.Kpa","t.diff","nee","et","reco"
"7/17/13.1",69.5,0.564,0.37,4.9,10,11.1,179,92,253.7,7.745,101.3,2.255,NA,NA,NA
"7/17/13.2",16.5,0.073,0.1,3,9.1,11.1,148,77,253.7,7.745,101.3,1.355,2.31665972414426,0.105542848729187,3.22887609246839
"7/17/13.3",61,0.085,0.29,2.6,7.9,11.2,156,81,253.7,7.745,101.3,0.155,NA,NA,NA
"7/18/13.1",74.3333333333333,0.465333333333333,0.341666666666667,5.36666666666667,16.1666666666667,18.8,412.333333333333,299.333333333333,846.2,13.93,101.7,2.23666666666667,1.29432017974885,0.381238136599504,1.87500589370321
"7/18/13.2",25.8333333333333,0.177666666666667,0.322333333333333,2.4,14.4333333333333,18.5,415.666666666667,282.666666666667,814.533333333333,13.882,101.7,0.551333333333333,1.25683818577471,0.753161853454526,3.09290444412208
"7/18/13.3",22,0.0823333333333333,0.213,2.73333333333333,13.2,18.5,415.666666666667,282.666666666667,745.366666666667,13.449,101.7,-0.249,1.4716325388471,0.681164980936942,2.80938349169089
"7/19/13.1",71.9,0.33,0.3214,6.26,21.54,24.2,538,253,736.2,19.3368,100.8,2.2032,3.97030922185096,0.733866404556886,3.77826144176411
"7/19/13.2",26.4,0.095,0.246,3.2,19.26,24.78,504.4,260,736.2,19.3368,100.8,-0.0768000000000001,2.99813840424622,0.847825725652871,4.44515665512467
"7/19/13.3",33.7,0.0528,0.1606,2.92,19,24.68,354.6,180.4,717.7,19.3558,100.8,-0.3558,0.628546839245407,1.03190219475273,3.71550648129106
"7/27/13.1",75.5,NA,NA,6.26,24.8,30.12,1048.4,537,1242.2,18.4234,99.86,6.3766,3.24385857211976,1.61043474506551,2.43318626271826
"7/27/13.2",34.5,NA,NA,3.84,20.4,29.36,1200.2,572.8,1091.2,18.2474,99.86,2.1526,1.64377159704477,3.04819118569192,3.36173890436618
"7/27/13.3",32.8,NA,NA,4.9,20.92,28.58,933.2,503.4,1091.2,18.2474,99.86,2.6726,-2.74734988981245,1.92133158425662,3.89263388472998
"8/1/13.1",77.2,NA,NA,4.42,6.92,8.56,163.6,86,247.7,6.6358,101.8,0.2842,2.47817927073239,0.255674624792312,2.3038234139639
"8/1/13.2",41.42,NA,NA,2.34,5.84,8.16,161.6,85.4,247.7,6.6358,101.8,-0.7958,2.31112974319602,0.186666675175832,1.70294901658962
"8/1/13.3",45.98,NA,NA,2.76,5.6,7.96,158.6,81.8,233.2,6.585,101.8,-0.985,2.9747625397662,0.202044721847953,2.04671056529912
"8/3/13.1",78.5,NA,NA,4.12,20.02,18.6,1028,535.8,967.2,7.995,100.7,12.025,1.57270068311183,1.07125295398051,2.11331925565768
"8/3/13.2",36.2,NA,NA,2.12,14.52,14.8,690.4,344.8,1061.7,8.1792,100.7,6.3408,2.22116400858444,1.73276633668192,2.91538556857257
"8/3/13.3",48.1,NA,NA,2.92,13.02,13.3,984.6,438.2,1061.7,8.1792,100.7,4.8408,-3.47006173726025,1.67298615582886,2.63056214450964
"8/4/13.1",NA,NA,NA,4.72,12.26,NA,381,223.4,804.7,12.8518,99.7,-0.5918,1.73700165183034,0.649999824252113,1.69347513453865
"8/4/13.2",NA,NA,NA,3.32,11.18,NA,331.2,210,804.7,12.8518,99.7,-1.6718,1.19296661815074,0.821667353129543,1.92265740195807
"8/4/13.3",NA,NA,NA,4.24,11.42,NA,426.6,236.4,783.7,12.7164,99.7,-1.2964,0.11322440046345,0.966793053729661,2.50781980347415
