date,plot,ndvi
7/19/13,1.1,0.3
7/19/13,1.2,0.62
7/19/13,1.3,0.6
7/19/13,2.1,0.41
7/19/13,2.2,0.61
7/19/13,2.3,0.64
7/19/13,3.1,0.39
7/19/13,3.2,0.61
7/19/13,3.3,0.67
7/19/13,4.1,0.44
7/19/13,4.2,0.56
7/19/13,4.3,0.62
7/19/13,5.1,0.4
7/19/13,5.2,0.61
7/19/13,5.3,0.66
7/30/13,1.1,0.34
7/30/13,1.2,0.61
7/30/13,1.3,0.58
7/30/13,2.1,0.42
7/30/13,2.2,0.6
7/30/13,2.3,
7/30/13,3.1,0.41
7/30/13,3.2,0.6
7/30/13,3.3,0.64
7/30/13,4.1,0.46
7/30/13,4.2,0.58
7/30/13,4.3,0.62
7/30/13,5.1,0.41
7/30/13,5.2,
7/30/13,5.3,0.64
8/4/13,1.1,0.33
8/4/13,1.2,0.61
8/4/13,1.3,0.58
8/4/13,2.1,0.4
8/4/13,2.2,0.65
8/4/13,2.3,0.65
8/4/13,3.1,0.4
8/4/13,3.2,0.63
8/4/13,3.3,0.67
8/4/13,4.1,0.47
8/4/13,4.2,0.64
8/4/13,4.3,0.65
8/4/13,5.1,0.4
8/4/13,5.2,0.63
8/4/13,5.3,0.62
