"Plot Title: 2028541"
"#","Date Time, GMT+12:00","Temp, °C (LGR S/N: 2028541, SEN S/N: 2028541)","Intensity, Lux (LGR S/N: 2028541, SEN S/N: 2028541)","Batt, V (LGR S/N: 2028541, SEN S/N: 2028541)","Host Connected (LGR S/N: 2028541, SEN S/N: 2028541)","Coupler Attached (LGR S/N: 2028541, SEN S/N: 2028541)","Coupler Detached (LGR S/N: 2028541, SEN S/N: 2028541)","Bad Battery (LGR S/N: 2028541, SEN S/N: 2028541)","Stopped (LGR S/N: 2028541, SEN S/N: 2028541)","End Of File (LGR S/N: 2028541, SEN S/N: 2028541)"
1,07/02/12 08:00:00,18.711,53.8,3.29,,,,,,
2,07/02/12 09:00:00,17.950,0.0,3.27,,,,,,
3,07/02/12 10:00:00,17.570,0.0,3.27,,,,,,
4,07/02/12 11:00:00,17.570,0.0,3.27,,,,,,
5,07/02/12 12:00:00,17.570,0.0,3.24,,,,,,
6,07/02/12 13:00:00,17.570,0.0,3.24,,,,,,
7,07/02/12 14:00:00,17.475,0.0,3.24,,,,,,
8,07/02/12 15:00:00,17.570,0.0,3.24,,,,,,
9,07/02/12 16:00:00,17.570,0.0,3.24,,,,,,
10,07/02/12 17:00:00,17.475,0.0,3.24,,,,,,
11,07/02/12 18:00:00,17.379,0.0,3.24,,,,,,
12,07/02/12 19:00:00,17.284,0.0,3.24,,,,,,
13,07/02/12 20:00:00,17.189,0.0,3.24,,,,,,
14,07/02/12 21:00:00,17.189,0.0,3.24,,,,,,
15,07/02/12 22:00:00,17.189,0.0,3.24,,,,,,
16,07/02/12 23:00:00,17.094,0.0,3.22,,,,,,
17,07/03/12 00:00:00,17.189,0.0,3.22,,,,,,
18,07/03/12 01:00:00,17.284,0.0,3.22,,,,,,
19,07/03/12 02:00:00,17.284,0.0,3.22,,,,,,
20,07/03/12 03:00:00,17.284,0.0,3.22,,,,,,
21,07/03/12 04:00:00,17.284,0.0,3.22,,,,,,
22,07/03/12 05:00:00,17.284,0.0,3.22,,,,,,
23,07/03/12 06:00:00,17.379,0.0,3.22,,,,,,
24,07/03/12 07:00:00,17.475,0.0,3.19,,,,,,
25,07/03/12 08:00:00,18.331,10.8,3.22,,,,,,
26,07/03/12 09:00:00,18.045,0.0,3.19,,,,,,
27,07/03/12 10:00:00,18.045,0.0,3.19,,,,,,
28,07/03/12 11:00:00,18.045,0.0,3.19,,,,,,
29,07/03/12 12:00:00,18.045,0.0,3.19,,,,,,
30,07/03/12 13:00:00,18.140,0.0,3.19,,,,,,
31,07/03/12 14:00:00,18.331,0.0,3.19,,,,,,
32,07/03/12 15:00:00,18.616,0.0,3.19,,,,,,
33,07/03/12 16:00:00,18.616,0.0,3.19,,,,,,
34,07/03/12 17:00:00,18.616,0.0,3.19,,,,,,
35,07/03/12 18:00:00,18.426,0.0,3.19,,,,,,
36,07/03/12 19:00:00,18.331,0.0,3.19,,,,,,
37,07/03/12 20:00:00,18.521,0.0,3.19,,,,,,
38,07/03/12 21:00:00,18.426,0.0,3.17,,,,,,
39,07/03/12 22:00:00,18.331,0.0,3.17,,,,,,
40,07/03/12 23:00:00,18.236,0.0,3.17,,,,,,
41,07/04/12 00:00:00,18.045,0.0,3.17,,,,,,
42,07/04/12 01:00:00,17.665,0.0,3.17,,,,,,
43,07/04/12 02:00:00,17.475,0.0,3.17,,,,,,
44,07/04/12 03:00:00,17.189,0.0,3.17,,,,,,
45,07/04/12 04:00:00,16.713,0.0,3.14,,,,,,
46,07/04/12 05:00:00,16.332,0.0,3.14,,,,,,
47,07/04/12 06:00:00,16.237,0.0,3.14,,,,,,
48,07/04/12 07:00:00,16.332,0.0,3.14,,,,,,
49,07/04/12 08:00:00,16.427,0.0,3.14,,,,,,
50,07/04/12 09:00:00,16.523,0.0,3.14,,,,,,
51,07/04/12 10:00:00,16.808,0.0,3.14,,,,,,
52,07/04/12 11:00:00,17.094,0.0,3.14,,,,,,
53,07/04/12 12:00:00,17.379,0.0,3.14,,,,,,
54,07/04/12 13:00:00,17.570,0.0,3.14,,,,,,
55,07/04/12 14:00:00,17.570,0.0,3.14,,,,,,
56,07/04/12 15:00:00,17.570,0.0,3.14,,,,,,
57,07/04/12 16:00:00,17.760,0.0,3.14,,,,,,
58,07/04/12 17:00:00,17.950,0.0,3.14,,,,,,
59,07/04/12 18:00:00,18.045,0.0,3.14,,,,,,
