plot,moss,lichen,herb ,shrub,other,total,moss.und,lichen.und,litter.und,eg.shrub.und,total.und
1.1,0,95,0,5,0,100,0,0,0,0,0
1.2,50,0,0,50,0,100,75,0,0,25,100
1.3,10,0,0,90,0,100,30,0,40,30,100
2.1,0,95,0,5,0,100,0,0,0,0,0
2.2,25,0,0,75,0,100,50,0,0,50,100
2.3,0,0,0,100,0,100,5,5,0,90,100
3.1,10,90,0,0,0,100,0,0,0,0,0
3.2,15,0,0,85,0,100,40,0,0,60,100
3.3,5,0,0,95,0,100,55,10,0,35,100
4.1,10,85,0,5,0,100,0,0,0,0,0
4.2,5,5,0,90,0,100,20,0,0,80,100
4.3,10,0,0,90,0,100,50,0,0,50,100
5.1,5,95,0,0,0,100,0,0,0,0,0
5.2,35,0,0,65,0,100,75,0,0,25,100
5.3,15,15,0,70,0,100,30,40,0,30,100
