date,time,plot,td1,td2,td,Ks,sm,Tsoil,Tsurf,Tair,par,sw,par.met,Tair.met,p.Kpa,rh.met
7/17/13,18:48,1.1,58,81,69.5,0.564,0.37,4.9,10,11.1,179,92,253.7,7.745,101.3,84.1
7/17/13,18:59,1.2,18,15,16.5,0.073,0.1,3,9.1,11.1,148,77,253.7,7.745,101.3,84.1
7/17/13,,1.3,86,36,61,0.085,0.29,2.6,7.9,11.2,156,81,253.7,7.745,101.3,84.1
7/18/13,17:59,1.1,69,78,73.5,0.422,0.31,5.7,19.3,20.2,598,322,943.7,14.194,101.7,71.4
7/18/13,18:06,1.2,23,22,22.5,0.256,0.18,3.6,15.4,19.1,598,322,848.7,14.05,101.7,71.6
7/18/13,18:14,1.3,18,32,25,0.092,0.22,1.4,14.7,19,598,322,848.7,14.05,101.7,71.6
7/18/13,18:24,2.1,74,65,69.5,0.265,0.371,4.8,17.1,19.8,540,306,848.7,14.05,101.7,71.6
7/18/13,18:30,2.2,43,28,35.5,0.099,0.298,2.2,14.9,20,540,306,848.7,14.05,101.7,71.6
7/18/13,18:37,2.3,13,20,16.5,0.075,0.149,3.4,13,20.1,540,306,746.2,13.546,101.7,73.2
7/18/13,18:55,3.1,77,83,80,0.709,0.344,5.6,12.1,16.4,99,270,746.2,13.546,101.7,73.2
7/18/13,,3.2,25,14,19.5,0.178,0.489,1.4,13,16.4,109,220,746.2,13.546,101.7,73.2
7/18/13,19:01,3.3,21,28,24.5,0.08,0.27,3.4,11.9,16.4,109,220,641.2,12.751,101.7,75.3
7/19/13,19:05,1.1,81,70,75.5,0.422,0.412,9.9,16.3,21.7,210,97,433.7,19.984,100.8,56.6
7/19/13,19:12,1.2,17,23,20,0.075,0.401,3.2,15.3,20.6,152,66,433.7,19.984,100.8,56.6
7/19/13,19:15,1.3,18,32,25,0.043,0.214,2.7,16.5,21.3,190,88,433.7,19.984,100.8,56.6
7/19/13,17:09,2.1,76,69,72.5,0.497,0.376,5.8,25.5,24.2,346,173,808.7,20.055,100.8,58.3
7/19/13,17:15,2.2,44,21,32.5,0.053,0.216,3,20.3,24.2,772,415,808.7,20.055,100.8,58.3
7/19/13,18:54,2.3,18,15,16.5,0.054,0.064,1.7,19.6,22.5,172,81,716.2,20.15,100.8,54.8
7/19/13,16:46,3.1,85,85,85,0.125,0.296,7.8,19.2,27.7,428,203,603.7,18.937,100.8,58.6
7/19/13,16:59,3.2,15,28,21.5,0.054,0.278,4.6,19.3,25.2,404,203,603.7,18.937,100.8,58.6
7/19/13,16:50,3.3,21,25,23,0.06,0.257,3.1,19.2,24.3,432,203,603.7,18.937,100.8,58.6
7/19/13,16:15,4.1,65,55,60,0.264,0.294,3.7,20.6,23.6,1146,514,1003.7,18.628,100.8,57.4
7/19/13,16:22,4.2,28,50,39,0.196,0.198,2.5,20.9,27.7,391,197,1003.7,18.628,100.8,57.4
7/19/13,16:29,4.3,85,46,65.5,0.063,0.048,3.8,20.2,28.3,507,241,1003.7,18.628,100.8,57.4
7/19/13,15:43,5.1,74,59,66.5,0.342,0.229,4.1,26.1,23.8,560,278,831.2,19.08,100.8,60.6
7/19/13,15:50,5.2,20,18,19,0.097,0.137,2.7,20.5,26.2,803,419,831.2,19.08,100.8,60.6
7/19/13,16:01,5.3,39,38,38.5,0.044,0.22,3.3,19.5,27,472,289,831.2,19.08,100.8,60.6
7/27/13,11:08,1.1,85,73,79,,,6.8,24.9,28.7,1164,642,1243.7,18.794,99.9,67.2
7/27/13,11:21,1.2,45,20,32.5,,,4.9,21.2,30.7,1408,681,1243.7,18.794,99.9,67.2
7/27/13,11:15,1.3,21,26,23.5,,,5.2,21.4,32.3,1354,697,1243.7,18.794,99.9,67.2
7/27/13,11:34,2.1,82,78,80,,,6.2,30,32.5,1333,642,1438.7,18.818,99.9,65.7
7/27/13,11:42,2.2,40,35,37.5,,,3.5,22.2,32.6,1373,670,1438.7,18.818,99.9,65.7
