"2013-07-19 at 19:02"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2013-07-19 19:02:36 377.97 12.66 10.15 50.32 98.33 0.0702 0.0812
2013-07-19 19:02:37 376.28 12.71 10.20 50.32 98.33 0.0699 0.0814
2013-07-19 19:02:38 376.41 12.79 10.29 50.32 98.31 0.0699 0.0818
2013-07-19 19:02:39 376.47 12.81 10.32 50.34 98.31 0.0699 0.0819
2013-07-19 19:02:40 378.50 12.91 10.45 50.37 98.33 0.0702 0.0824
2013-07-19 19:02:41 377.81 12.90 10.43 50.32 98.32 0.0701 0.0823
2013-07-19 19:02:42 377.80 12.92 10.45 50.32 98.31 0.0701 0.0824
2013-07-19 19:02:43 380.63 12.90 10.43 50.32 98.33 0.0705 0.0823
2013-07-19 19:02:44 377.99 12.85 10.37 50.32 98.33 0.0702 0.0821
2013-07-19 19:02:45 379.23 12.82 10.34 50.32 98.33 0.0703 0.0819
2013-07-19 19:02:47 377.98 12.85 10.37 50.34 98.33 0.0702 0.0821
2013-07-19 19:02:48 379.35 12.84 10.37 50.34 98.34 0.0704 0.0821
2013-07-19 19:02:49 378.48 12.76 10.26 50.34 98.32 0.0702 0.0817
2013-07-19 19:02:50 378.58 12.76 10.26 50.32 98.30 0.0702 0.0816
2013-07-19 19:02:51 379.02 12.81 10.33 50.32 98.30 0.0703 0.0819
2013-07-19 19:02:52 379.69 12.81 10.33 50.32 98.34 0.0704 0.0819
2013-07-19 19:02:53 378.76 12.93 10.46 50.34 98.34 0.0703 0.0824
2013-07-19 19:02:54 379.04 12.87 10.39 50.34 98.34 0.0703 0.0822
2013-07-19 19:02:55 380.45 12.88 10.40 50.34 98.34 0.0705 0.0822
2013-07-19 19:02:56 379.38 12.91 10.44 50.34 98.32 0.0703 0.0823
2013-07-19 19:02:57 381.21 12.95 10.48 50.34 98.30 0.0706 0.0825
2013-07-19 19:02:58 382.44 12.91 10.44 50.32 98.32 0.0708 0.0824
