"2013-07-19 at 16:53"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2013-07-19 16:53:39 395.42 15.45 13.14 50.34 98.19 0.0724 0.0932
2013-07-19 16:53:40 393.96 15.67 13.36 50.34 98.21 0.0723 0.0941
2013-07-19 16:53:41 394.84 15.76 13.46 50.40 98.23 0.0724 0.0945
2013-07-19 16:53:42 393.58 15.84 13.53 50.40 98.24 0.0722 0.0948
2013-07-19 16:53:43 396.52 16.01 13.69 50.37 98.22 0.0726 0.0955
2013-07-19 16:53:44 394.27 16.11 13.79 50.34 98.18 0.0723 0.0959
2013-07-19 16:53:45 395.59 16.17 13.84 50.34 98.19 0.0725 0.0961
2013-07-19 16:53:46 395.69 16.28 13.95 50.34 98.21 0.0725 0.0966
2013-07-19 16:53:47 397.10 16.31 13.98 50.34 98.23 0.0727 0.0967
2013-07-19 16:53:48 396.07 16.47 14.13 50.37 98.22 0.0726 0.0973
2013-07-19 16:53:49 397.99 16.56 14.21 50.40 98.22 0.0728 0.0977
2013-07-19 16:53:50 398.20 16.59 14.25 50.40 98.23 0.0729 0.0978
2013-07-19 16:53:51 398.28 16.71 14.35 50.34 98.22 0.0729 0.0983
2013-07-19 16:53:52 398.01 16.73 14.37 50.34 98.22 0.0728 0.0984
2013-07-19 16:53:53 396.72 16.84 14.47 50.34 98.21 0.0726 0.0988
2013-07-19 16:53:54 401.94 16.90 14.52 50.34 98.21 0.0734 0.0990
2013-07-19 16:53:55 400.26 17.00 14.62 50.34 98.22 0.0731 0.0995
2013-07-19 16:53:56 400.59 17.01 14.63 50.37 98.24 0.0732 0.0995
2013-07-19 16:53:57 399.55 17.05 14.66 50.40 98.24 0.0731 0.0996
2013-07-19 16:53:58 401.41 17.12 14.74 50.40 98.26 0.0733 0.0999
2013-07-19 16:53:59 401.95 17.23 14.82 50.34 98.21 0.0734 0.1003
2013-07-19 16:54:00 401.24 17.28 14.87 50.34 98.22 0.0733 0.1005
2013-07-19 16:54:01 402.12 17.33 14.92 50.34 98.22 0.0734 0.1007
2013-07-19 16:54:02 403.38 17.36 14.94 50.34 98.21 0.0735 0.1008
2013-07-19 16:54:03 403.50 17.50 15.07 50.34 98.22 0.0736 0.1014
2013-07-19 16:54:04 404.88 17.47 15.04 50.40 98.22 0.0738 0.1013
2013-07-19 16:54:05 404.99 17.54 15.10 50.40 98.24 0.0738 0.1015
2013-07-19 16:54:06 403.14 17.58 15.13 50.40 98.20 0.0735 0.1017
2013-07-19 16:54:07 405.86 17.67 15.22 50.34 98.20 0.0739 0.1020
2013-07-19 16:54:08 405.13 17.71 15.25 50.34 98.20 0.0738 0.1022
2013-07-19 16:54:09 405.95 17.75 15.29 50.34 98.24 0.0739 0.1024
2013-07-19 16:54:10 405.09 17.78 15.32 50.34 98.24 0.0738 0.1025
2013-07-19 16:54:11 407.26 17.88 15.41 50.40 98.22 0.0741 0.1029
2013-07-19 16:54:12 408.11 17.85 15.38 50.40 98.24 0.0742 0.1027
2013-07-19 16:54:13 407.11 17.93 15.45 50.40 98.23 0.0741 0.1031
2013-07-19 16:54:14 408.79 17.97 15.47 50.34 98.20 0.0743 0.1032
2013-07-19 16:54:15 409.22 18.03 15.53 50.34 98.22 0.0743 0.1034
2013-07-19 16:54:16 408.55 18.02 15.53 50.34 98.23 0.0743 0.1034
2013-07-19 16:54:17 409.74 18.07 15.57 50.34 98.22 0.0744 0.1036
2013-07-19 16:54:18 410.03 18.08 15.58 50.37 98.24 0.0745 0.1036
2013-07-19 16:54:19 409.35 18.19 15.67 50.40 98.24 0.0744 0.1041
2013-07-19 16:54:20 409.60 18.14 15.63 50.37 98.23 0.0744 0.1039
2013-07-19 16:54:21 408.88 18.17 15.65 50.37 98.18 0.0743 0.1039
2013-07-19 16:54:22 410.19 18.23 15.70 50.34 98.22 0.0745 0.1042
2013-07-19 16:54:23 408.70 18.19 15.67 50.34 98.22 0.0743 0.1041
2013-07-19 16:54:24 413.23 18.27 15.73 50.34 98.22 0.0749 0.1043
2013-07-19 16:54:25 410.45 18.32 15.78 50.37 98.24 0.0745 0.1046
2013-07-19 16:54:26 410.08 18.30 15.76 50.40 98.24 0.0745 0.1045
2013-07-19 16:54:27 410.74 18.29 15.76 50.40 98.22 0.0745 0.1044
2013-07-19 16:54:28 411.26 18.37 15.82 50.34 98.21 0.0746 0.1047
2013-07-19 16:54:29 414.19 18.39 15.84 50.34 98.22 0.0750 0.1048
2013-07-19 16:54:30 411.67 18.40 15.85 50.34 98.22 0.0747 0.1048
2013-07-19 16:54:32 411.78 18.47 15.91 50.34 98.24 0.0747 0.1051
2013-07-19 16:54:33 414.98 18.45 15.90 50.34 98.24 0.0751 0.1051
