"Date.plot","Tsoil","Tsurf","Tair","Tdiff","PAR","NEE","ET","Reco"
"7/17/13.1","4.9 (NA)","10 (NA)","7.7 (NA)","2.3 (NA)","254 (NA)","NaN (NA)","NaN (NA)","NaN (NA)"
"7/17/13.2","3 (NA)","9.1 (NA)","7.7 (NA)","1.4 (NA)","254 (NA)","2.32 (NA)","0.11 (NA)","3.23 (NA)"
"7/17/13.3","2.6 (NA)","7.9 (NA)","7.7 (NA)","0.2 (NA)","254 (NA)","NaN (NA)","NaN (NA)","NaN (NA)"
"7/18/13.1","5.4 (0.3)","16.2 (2.1)","13.9 (0.2)","2.2 (1.9)","846 (57)","1.29 (0.22)","0.38 (0.04)","1.88 (0.56)"
"7/18/13.2","2.4 (0.6)","14.4 (0.7)","13.9 (0.2)","0.6 (0.6)","815 (34)","1.26 (2.22)","0.75 (0.3)","3.09 (0.05)"
"7/18/13.3","2.7 (0.7)","13.2 (0.8)","13.4 (0.4)","-0.2 (0.5)","745 (60)","1.47 (1.21)","0.68 (0.14)","2.81 (0.75)"
"7/19/13.1","6.3 (1.2)","21.5 (1.9)","19.3 (0.3)","2.2 (1.9)","736 (99)","3.97 (0.93)","0.73 (0.34)","3.78 (0.78)"
"7/19/13.2","3.2 (0.4)","19.3 (1)","19.3 (0.3)","-0.1 (1.2)","736 (99)","3 (2.11)","0.85 (0.16)","4.45 (0.82)"
"7/19/13.3","2.9 (0.4)","19 (0.6)","19.4 (0.3)","-0.4 (0.9)","718 (97)","0.63 (1.18)","1.03 (0.32)","3.72 (1.31)"
"7/27/13.1","6.3 (0.9)","24.8 (1.5)","18.4 (0.3)","6.4 (1.4)","1242 (88)","3.24 (0.4)","1.61 (0.39)","2.43 (0.65)"
"7/27/13.2","3.8 (0.5)","20.4 (0.9)","18.2 (0.2)","2.2 (0.7)","1091 (126)","1.64 (2.19)","3.05 (0.32)","3.36 (0.52)"
"7/27/13.3","4.9 (0.6)","20.9 (1)","18.2 (0.2)","2.7 (0.8)","1091 (126)","-2.75 (1.26)","1.92 (0.34)","3.89 (0.83)"
"8/1/13.1","4.4 (0.4)","6.9 (0.8)","6.6 (0.1)","0.3 (0.8)","248 (27)","2.48 (0.66)","0.26 (0.08)","2.3 (0.75)"
"8/1/13.2","2.3 (0.4)","5.8 (0.8)","6.6 (0.1)","-0.8 (0.8)","248 (27)","2.31 (1.14)","0.19 (0.11)","1.7 (0.42)"
"8/1/13.3","2.8 (0.6)","5.6 (0.7)","6.6 (0.1)","-1 (0.6)","233 (41)","2.97 (1.35)","0.2 (0.05)","2.05 (0.85)"
"8/3/13.1","4.1 (0.3)","20 (2.7)","8 (0.1)","12 (2.6)","967 (44)","1.57 (0.57)","1.07 (0.31)","2.11 (0.38)"
"8/3/13.2","2.1 (0.3)","14.5 (1.6)","8.2 (0.2)","6.3 (1.5)","1062 (74)","2.22 (1.32)","1.73 (0.32)","2.92 (0.64)"
"8/3/13.3","2.9 (0.4)","13 (1.8)","8.2 (0.2)","4.8 (1.6)","1062 (74)","-3.47 (1.81)","1.67 (0.38)","2.63 (0.92)"
"8/4/13.1","4.7 (0.4)","12.3 (0.7)","12.9 (0.2)","-0.6 (0.8)","805 (38)","1.74 (0.42)","0.65 (0.04)","1.69 (0.45)"
"8/4/13.2","3.3 (0.7)","11.2 (0.9)","12.9 (0.2)","-1.7 (0.8)","805 (38)","1.19 (0.34)","0.82 (0.04)","1.92 (0.15)"
"8/4/13.3","4.2 (0.9)","11.4 (1)","12.7 (0.3)","-1.3 (0.8)","784 (53)","0.11 (1.07)","0.97 (0.11)","2.51 (0.58)"
