"2013-08-01 at 17:36"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2013-08-01 17:36:07 382.14 10.07 6.86 50.34 98.97 0.0712 0.0693
2013-08-01 17:36:08 385.33 10.23 7.11 50.34 99.00 0.0717 0.0702
2013-08-01 17:36:09 396.70 10.32 7.23 50.40 99.00 0.0732 0.0706
2013-08-01 17:36:10 391.95 10.27 7.15 50.34 98.98 0.0726 0.0703
2013-08-01 17:36:11 391.57 10.24 7.11 50.34 98.98 0.0725 0.0702
2013-08-01 17:36:12 385.93 10.28 7.17 50.34 98.99 0.0717 0.0704
2013-08-01 17:36:13 384.40 10.13 6.96 50.34 98.99 0.0715 0.0696
2013-08-01 17:36:14 388.54 10.25 7.13 50.34 99.00 0.0721 0.0702
2013-08-01 17:36:15 388.31 10.14 6.96 50.37 98.98 0.0720 0.0697
2013-08-01 17:36:16 385.53 10.21 7.07 50.40 99.00 0.0717 0.0700
2013-08-01 17:36:17 384.99 10.20 7.06 50.34 98.99 0.0716 0.0700
2013-08-01 17:36:18 385.55 10.02 6.79 50.34 98.98 0.0717 0.0691
2013-08-01 17:36:19 385.04 10.08 6.89 50.34 98.98 0.0716 0.0694
2013-08-01 17:36:20 382.56 9.97 6.72 50.34 99.00 0.0713 0.0688
2013-08-01 17:36:21 383.80 10.02 6.79 50.34 99.00 0.0714 0.0691
2013-08-01 17:36:22 385.49 10.02 6.80 50.34 99.00 0.0717 0.0691
2013-08-01 17:36:23 383.55 10.00 6.78 50.37 99.02 0.0714 0.0690
2013-08-01 17:36:24 384.68 10.06 6.86 50.37 98.99 0.0716 0.0693
2013-08-01 17:36:25 385.95 10.14 6.98 50.37 98.99 0.0717 0.0697
2013-08-01 17:36:26 385.46 10.07 6.87 50.34 98.99 0.0717 0.0693
2013-08-01 17:36:27 384.76 10.14 6.97 50.34 98.98 0.0716 0.0697
2013-08-01 17:36:28 385.99 10.21 7.07 50.34 98.98 0.0717 0.0700
2013-08-01 17:36:29 382.82 10.04 6.83 50.34 99.00 0.0713 0.0692
2013-08-01 17:36:30 386.07 9.95 6.69 50.34 99.02 0.0718 0.0687
2013-08-01 17:36:31 385.75 10.04 6.83 50.37 98.99 0.0717 0.0692
2013-08-01 17:36:32 383.53 10.11 6.93 50.37 98.99 0.0714 0.0695
2013-08-01 17:36:33 385.48 10.04 6.82 50.34 98.97 0.0717 0.0692
2013-08-01 17:36:34 386.60 10.03 6.81 50.34 98.96 0.0718 0.0691
2013-08-01 17:36:35 387.36 10.02 6.79 50.34 98.98 0.0719 0.0691
2013-08-01 17:36:36 385.04 10.04 6.83 50.34 99.00 0.0716 0.0692
2013-08-01 17:36:37 387.69 9.95 6.70 50.34 98.99 0.0720 0.0687
2013-08-01 17:36:38 385.74 10.13 6.95 50.40 98.99 0.0717 0.0696
2013-08-01 17:36:39 388.33 10.11 6.94 50.40 99.03 0.0721 0.0696
2013-08-01 17:36:40 446.88 10.16 7.00 50.34 98.99 0.0798 0.0698
2013-08-01 17:36:41 417.73 10.15 6.98 50.34 98.97 0.0760 0.0697
2013-08-01 17:36:43 389.59 9.99 6.76 50.34 98.98 0.0722 0.0689
2013-08-01 17:36:44 380.31 9.94 6.68 50.34 98.98 0.0709 0.0687
2013-08-01 17:36:45 387.26 9.81 6.49 50.34 99.00 0.0719 0.0680
2013-08-01 17:36:46 386.11 9.97 6.73 50.37 99.02 0.0718 0.0689
2013-08-01 17:36:47 390.43 10.00 6.77 50.40 98.98 0.0723 0.0690
2013-08-01 17:36:48 392.89 10.09 6.90 50.34 98.98 0.0727 0.0694
2013-08-01 17:36:49 388.18 10.05 6.84 50.34 98.98 0.0720 0.0692
2013-08-01 17:36:50 386.23 9.84 6.54 50.34 98.98 0.0718 0.0682
2013-08-01 17:36:51 390.99 10.05 6.84 50.34 98.99 0.0724 0.0692
2013-08-01 17:36:52 385.38 9.94 6.68 50.34 98.98 0.0716 0.0687
2013-08-01 17:36:53 386.56 9.93 6.66 50.37 99.02 0.0718 0.0686
2013-08-01 17:36:54 384.96 10.03 6.81 50.40 98.98 0.0716 0.0691
2013-08-01 17:36:55 387.01 10.08 6.88 50.34 98.98 0.0719 0.0694
2013-08-01 17:36:56 386.16 9.96 6.71 50.34 98.97 0.0717 0.0688
2013-08-01 17:36:57 398.00 9.82 6.49 50.34 98.97 0.0734 0.0680
2013-08-01 17:36:58 400.69 9.67 6.28 50.34 98.99 0.0737 0.0673
2013-08-01 17:36:59 397.59 9.76 6.42 50.34 98.98 0.0733 0.0678
2013-08-01 17:37:00 390.33 9.98 6.73 50.37 98.98 0.0723 0.0689
2013-08-01 17:37:01 393.33 9.90 6.62 50.40 98.98 0.0727 0.0685
2013-08-01 17:37:02 391.84 10.03 6.81 50.37 98.99 0.0725 0.0691
2013-08-01 17:37:03 389.80 9.86 6.56 50.34 98.97 0.0722 0.0683
2013-08-01 17:37:04 395.26 9.84 6.54 50.34 98.98 0.0730 0.0682
2013-08-01 17:37:05 398.54 9.99 6.76 50.34 99.02 0.0735 0.0690
2013-08-01 17:37:06 386.45 9.84 6.54 50.34 99.03 0.0718 0.0682
2013-08-01 17:37:07 388.76 9.79 6.46 50.37 99.03 0.0721 0.0679
2013-08-01 17:37:08 391.14 9.90 6.62 50.37 99.03 0.0725 0.0685
2013-08-01 17:37:09 389.27 9.96 6.72 50.40 99.03 0.0722 0.0688
2013-08-01 17:37:10 390.34 9.94 6.68 50.34 99.01 0.0724 0.0687
2013-08-01 17:37:11 391.20 9.99 6.75 50.34 98.99 0.0725 0.0689
2013-08-01 17:37:12 390.25 9.88 6.60 50.34 99.03 0.0724 0.0684
2013-08-01 17:37:13 386.11 9.76 6.42 50.34 99.01 0.0718 0.0678
2013-08-01 17:37:14 388.64 9.86 6.57 50.34 99.03 0.0721 0.0683
2013-08-01 17:37:15 389.21 9.76 6.43 50.37 99.03 0.0722 0.0678
2013-08-01 17:37:16 388.29 9.86 6.57 50.40 99.03 0.0721 0.0683
2013-08-01 17:37:17 385.93 9.94 6.68 50.37 99.01 0.0717 0.0687
2013-08-01 17:37:18 389.08 9.84 6.53 50.34 98.99 0.0722 0.0681
2013-08-01 17:37:19 388.72 9.85 6.54 50.34 99.01 0.0721 0.0682
2013-08-01 17:37:20 386.64 9.80 6.48 50.34 99.01 0.0718 0.0680
2013-08-01 17:37:21 388.37 9.84 6.53 50.34 99.01 0.0721 0.0682
2013-08-01 17:37:22 389.74 9.82 6.50 50.34 99.01 0.0723 0.0681
2013-08-01 17:37:23 387.55 9.91 6.63 50.40 99.01 0.0720 0.0685
2013-08-01 17:37:24 391.35 9.97 6.73 50.37 99.01 0.0725 0.0688
2013-08-01 17:37:25 388.15 10.02 6.80 50.34 99.01 0.0721 0.0691
2013-08-01 17:37:26 388.38 10.03 6.81 50.34 99.01 0.0721 0.0691
2013-08-01 17:37:27 396.45 9.96 6.72 50.34 98.99 0.0732 0.0688
2013-08-01 17:37:28 389.66 10.01 6.78 50.34 99.02 0.0723 0.0690
2013-08-01 17:37:29 418.29 10.02 6.80 50.34 98.99 0.0761 0.0691
2013-08-01 17:37:30 388.71 9.96 6.71 50.37 99.02 0.0721 0.0688
2013-08-01 17:37:31 383.84 9.92 6.66 50.40 98.99 0.0714 0.0686
