"2013-08-01 at 16:23"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2013-08-01 16:23:58 409.58 10.16 6.93 50.34 98.50 0.0745 0.0695
2013-08-01 16:23:59 409.31 10.18 6.95 50.34 98.48 0.0745 0.0695
2013-08-01 16:24:00 405.27 10.17 6.94 50.34 98.50 0.0740 0.0695
2013-08-01 16:24:01 405.06 10.18 6.95 50.34 98.48 0.0739 0.0695
2013-08-01 16:24:02 410.29 10.19 6.97 50.34 98.48 0.0746 0.0696
2013-08-01 16:24:03 409.59 10.11 6.86 50.34 98.50 0.0745 0.0692
2013-08-01 16:24:04 407.92 10.18 6.96 50.34 98.52 0.0743 0.0696
2013-08-01 16:24:05 404.68 10.17 6.94 50.34 98.47 0.0739 0.0695
2013-08-01 16:24:06 407.70 10.15 6.91 50.34 98.48 0.0743 0.0694
2013-08-01 16:24:07 409.44 10.12 6.88 50.34 98.50 0.0745 0.0693
2013-08-01 16:24:08 416.33 10.16 6.92 50.34 98.50 0.0754 0.0695
2013-08-01 16:24:09 408.16 10.16 6.93 50.34 98.50 0.0744 0.0695
2013-08-01 16:24:10 406.70 10.20 6.99 50.37 98.50 0.0742 0.0697
2013-08-01 16:24:11 406.34 10.16 6.93 50.37 98.52 0.0741 0.0695
2013-08-01 16:24:12 408.40 10.19 6.97 50.34 98.50 0.0744 0.0696
2013-08-01 16:24:13 409.99 10.17 6.93 50.34 98.47 0.0746 0.0695
2013-08-01 16:24:14 407.07 10.18 6.95 50.32 98.48 0.0742 0.0695
2013-08-01 16:24:15 407.97 10.16 6.93 50.34 98.48 0.0743 0.0695
2013-08-01 16:24:16 406.73 10.22 7.01 50.34 98.53 0.0742 0.0698
2013-08-01 16:24:17 411.12 10.13 6.88 50.34 98.52 0.0748 0.0693
2013-08-01 16:24:18 406.51 10.18 6.95 50.37 98.50 0.0741 0.0695
2013-08-01 16:24:19 412.55 10.15 6.91 50.34 98.50 0.0749 0.0694
2013-08-01 16:24:20 407.97 10.21 6.99 50.34 98.48 0.0743 0.0697
2013-08-01 16:24:21 410.69 10.14 6.90 50.34 98.48 0.0747 0.0694
2013-08-01 16:24:22 412.65 10.16 6.92 50.34 98.50 0.0750 0.0694
2013-08-01 16:24:23 408.97 10.21 7.00 50.34 98.50 0.0745 0.0697
2013-08-01 16:24:24 409.69 10.15 6.91 50.37 98.48 0.0745 0.0694
