Site,Trans,Meter,Quadrat,shrub,herb,moss,lichen,other
T-1Y4,1,0,A,40,5,35,5,15
T-1Y4,1,0,B,45,10,20,10,15
T-1Y4,1,0,C,25,10,40,5,20
T-1Y4,1,0,D,55,20,20,15,10
T-1Y4,1,20,A,45,5,30,10,10
T-1Y4,1,20,B,45,5,10,30,10
T-1Y4,1,20,C,45,0,35,10,10
T-1Y4,1,20,D,60,0,15,15,10
T-1Y4,2,0,A,60,5,20,0,15
T-1Y4,2,0,B,30,5,0,0,65
T-1Y4,2,0,C,30,5,0,0,15
T-1Y4,2,0,D,75,5,2,0,18
T-1Y4,2,20,A,45,0,25,20,10
T-1Y4,2,20,B,35,0,35,25,5
T-1Y4,2,20,C,35,0,20,40,5
T-1Y4,2,20,D,25,0,10,60,5
T-1Y4,3,0,A,70,0,20,0,10
T-1Y4,3,0,B,55,0,15,25,5
T-1Y4,3,0,C,45,5,50,5,5
T-1Y4,3,0,D,45,5,20,25,5
T-1Y4,3,20,A,55,0,20,10,5
T-1Y4,3,20,B,50,0,40,0,10
T-1Y4,3,20,C,45,0,40,5,10
T-1Y4,3,20,D,25,0,5,60,10
T-2Y4,1,0,A,20,5,30,0,45
T-2Y4,1,0,B,25,5,50,5,15
T-2Y4,1,0,C,50,0,5,0,45
T-2Y4,1,0,D,60,0,15,0,25
T-2Y4,1,20,A,30,30,20,20,0
T-2Y4,1,20,B,25,25,25,25,0
T-2Y4,1,20,C,80,0,20,0,0
T-2Y4,1,20,D,60,10,10,20,0
T-2Y4,2,0,A,50,5,20,0,25
T-2Y4,2,0,B,40,0,55,0,5
T-2Y4,2,0,C,20,0,60,10,10
T-2Y4,2,0,D,10,0,20,50,20
T-2Y4,2,20,A,80,5,10,5,0
T-2Y4,2,20,B,50,5,40,5,0
T-2Y4,2,20,C,80,5,15,0,0
T-2Y4,2,20,D,50,10,35,5,0
T-2Y4,3,0,A,70,0,0,0,30
T-2Y4,3,0,B,60,0,20,0,20
T-2Y4,3,0,C,40,0,10,0,50
T-2Y4,3,0,D,75,0,5,0,20
T-2Y4,3,20,A,70,5,25,0,0
T-2Y4,3,20,B,30,0,50,10,5
